2,0.5,1
1,1.0,1
1,1.0,1
5,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
4,1.0,1
3,0.333,0
2,0.5,0
3,0.333,0
3,1.0,1
5,0.6,1
1,1.0,1
5,0.4,0
1,1.0,1
14,0.5,0
12,0.667,0
14,0.5,0
15,0.467,0
13,0.385,0
13,0.538,0
1,1.0,0
15,0.467,0
1,1.0,0
1,1.0,1
1,1.0,1
6,0.333,1
1,1.0,0
3,0.667,1
4,0.25,1
1,1.0,1
19,0.105,0
1,1.0,0
1,1.0,1
1,1.0,1
4,0.25,1
8,0.125,0
4,0.5,1
1,1.0,1
1,1.0,0
1,1.0,0
1,1.0,0
10,0.1,0
1,1.0,0
14,0.143,0
1,1.0,0
6,0.333,1
10,0.1,0
1,1.0,0
1,1.0,0
2,0.5,0
1,1.0,1
6, 1,1
4,0.5,0
3,0.333,0
3,0.333,0
1,1.0,0
1,1.0,1
1,1.0,1
1,1.0,0
4,0.5,1
1,1.0,0
5,0.2,0
2,1.0,1
45,0.089,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,0
5,0.4,0
1,1.0,0
1,1.0,0
2,0.5,1
2,1.0,1
1,1.0,0
1,1.0,0
2,1.0,1
2,0.5,0
8,0.125,0
1,1.0,1
2,1.0,1
7,0.143,0
1,1.0,0
3,0.667,1
1,1.0,1
2,0.5,0
1,1.0,0
1,1.0,0
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,0
1,1.0,0
28,0.071,0
5,0.2,0
1,1.0,0
1,1.0,0
1,1.0,0
13,0.077,0
1,1.0,0
1,1.0,0
1,1.0,1
1,1.0,0
1,1.0,1
1,1.0,1
1,1.0,0
1,1.0,0
1,1.0,1
1,1.0,0
3,0.333,1
1,1.0,1
1,1.0,1
1,1.0,0
5,0.2,0
1,1.0,1
3,0.667,1
12,0.083,0
1,1.0,1
1,1.0,0
1,1.0,1
1,1.0,1
2,1.0,1
3,0.333,0
1,1.0,0
1,1.0,1
2,0.5,1
10,0.1,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,0
1,1.0,0
5,0.4,1
6,0.167,1
2,1.0,1
1,1.0,0
5,0.8,0
7,0.571,1
7,0.571,1
1,1.0,1
7,0.286,1
1,1.0,1
4,0.25,1
3,0.333,1
1,1.0,1
7,0.143,0
9,0.111,1
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
5,0.4,1
5,0.4,0
4,0.5,1
2,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,0
1,1.0,1
1,1.0,1
2,0.5,1
8,0.5,1
2,1.0,1
1,1.0,1
1,1.0,1
1,1.0,0
6,0.167,0
7,0.429,0
1,1.0,1
3,0.333,1
4,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,0
2,0.5,0
6,0.167,0
5,0.4,0
1,1.0,0
2,0.5,0
6,0.167,0
1,1.0,0
1,1.0,0
1,0.5,1
1,1,1
2,0.5,1
1,1,1
1,1,1
2,1,1
1,0.5,1
1,1,1
1,1,1
1,1,1
1,1,1
1,0.5,1
6,0.5,0
10,0.392825,0
